time,Hourly perc.,Week,Mon,Tue,Wed,Thu,Fri,Sat
1,0.8,4.544,6.59936,6.59936,6.52288,5.76216,3.93824,2.42792
2,0.6,3.408,4.94952,4.94952,4.89216,4.32162,2.95368,1.82094
3,0.3,1.704,2.47476,2.47476,2.44608,2.16081,1.47684,0.91047
4,0.25,1.42,2.0623,2.0623,2.0384,1.800675,1.2307,0.758725
5,0.35,1.988,2.88722,2.88722,2.85376,2.520945,1.72298,1.062215
6,0.2,1.136,1.64984,1.64984,1.63072,1.44054,0.98456,0.60698
7,1.6,9.088,13.19872,13.19872,13.04576,11.52432,7.87648,4.85584
8,3.8,21.584,31.34696,31.34696,30.98368,27.37026,18.70664,11.53262
9,9.9,56.232,81.66708,81.66708,80.72064,71.30673,48.73572,30.04551
10,8.1,46.008,66.81852,66.81852,66.04416,58.34187,39.87468,24.58269
11,6.7,38.056,55.26964,55.26964,54.62912,48.25809,32.98276,20.33383
12,5.7,32.376,47.02044,47.02044,46.47552,41.05539,28.05996,17.29893
13,7.3,41.464,60.21916,60.21916,59.52128,52.57971,35.93644,22.15477
14,5.6,31.808,46.19552,46.19552,45.66016,40.33512,27.56768,16.99544
15,5.75,32.66,47.4329,47.4329,46.8832,41.415525,28.3061,17.450675
16,6,34.08,49.4952,49.4952,48.9216,43.2162,29.5368,18.2094
17,9.25,52.54,76.3051,76.3051,75.4208,66.624975,45.5359,28.072825
18,5.4,30.672,44.54568,44.54568,44.02944,38.89458,26.58312,16.38846
19,4,22.72,32.9968,32.9968,32.6144,28.8108,19.6912,12.1396
20,4.4,24.992,36.29648,36.29648,35.87584,31.69188,21.66032,13.35356
21,5.8,32.944,47.84536,47.84536,47.29088,41.77566,28.55224,17.60242
22,4.4,24.992,36.29648,36.29648,35.87584,31.69188,21.66032,13.35356
23,2.4,13.632,19.79808,19.79808,19.56864,17.28648,11.81472,7.28376
24,1.4,7.952,11.54888,11.54888,11.41504,10.08378,6.89192,4.24886
25,,206.23,,,,,,
26,,214.4792,,,,,,
27,,222.7284,,,,,,
28,,230.9776,,,,,,
29,,239.2268,,,,,,
30,,247.476,,,,,,
31,,255.7252,,,,,,
32,,263.9744,,,,,,
33,,272.2236,,,,,,
34,,280.4728,,,,,,
35,,288.722,,,,,,
36,,296.9712,,,,,,
37,,305.2204,,,,,,
38,,313.4696,,,,,,
39,,321.7188,,,,,,
40,,329.968,,,,,,
41,,338.2172,,,,,,
42,,346.4664,,,,,,
43,,354.7156,,,,,,
44,,362.9648,,,,,,
45,,371.214,,,,,,
46,,379.4632,,,,,,
47,,387.7124,,,,,,
48,,395.9616,,,,,,
49,,6.59936,,,,,,
50,,4.94952,,,,,,
51,,2.47476,,,,,,
52,,2.0623,,,,,,
53,,2.88722,,,,,,
54,,1.64984,,,,,,
