HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,14.64,17.2
8,36.74,110.83
9,72.17,217.98
10,91.27,296.3
11,55.09,336.4
12,80.71,329.9
13,86.3,274.35
14,39.05,181.42
15,20.04,78.48
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,22.03,20.8
8,109.4,127.77
9,157.3,238.1
10,201.41,317.65
11,239.61,323.88
12,241.93,323.02
13,206.67,276.33
14,144.01,186.02
15,66.28,76.65
16,7.86,4.17
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,16.52,19
8,56.99,107.23
9,61.81,203.35
10,179.98,270.1
11,222.47,333.7
12,200.25,319.77
13,156.66,265.17
14,95.38,175.05
15,46.43,69.88
16,6.34,4.33
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,16.2,17.05
8,60.83,95.42
9,53.02,191.42
10,131.97,270.12
11,100.05,310.1
12,163.38,301.2
13,110.04,241.48
14,66.62,150.27
15,25.33,61.55
16,6.15,4.5
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,13.73,23.15
8,41.16,128.3
9,107.88,239.75
10,30.93,319.15
11,24.8,357.15
12,123.41,347.17
13,106.32,290.2
14,54.45,195.67
15,44.35,81.55
16,7.74,5.65
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,23.04,28.67
8,35.43,143.98
9,53.05,260.3
10,121.87,344.08
11,179.28,383.5
12,150.77,376.17
13,93.28,320.02
14,85.98,221.25
15,15.78,98.02
16,9.43,7.5
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,28.18,35.65
8,96.69,162.6
9,184.13,282.48
10,221.43,367.75
11,276.76,407.02
12,270.94,398.02
13,250.2,340.75
14,170.16,241
15,65.33,111.73
16,10.27,9.73
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,29.39,42.2
8,134.73,176.98
9,151.12,299.38
10,176.91,385.1
11,210.22,424.85
12,142.61,416.08
13,138.77,357.8
14,65.41,256.7
15,34,125.75
16,11.89,12.8
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,38.26,46.88
8,133.08,182.2
9,281.4,306.98
10,376.3,393.4
11,410.03,431.08
12,385.19,422.15
13,339.45,363.83
14,194.31,259.88
15,108.1,128.98
16,16.92,14.05
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,51.02,48.48
8,162.64,183.25
9,284.27,304.9
10,354.02,389.55
11,355.05,398.83
12,353.02,407.12
13,349.08,358.8
14,241.69,260.3
15,120,132.1
16,18.2,15.75
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,38.45,58.75
8,200.06,202.62
9,317.04,329.58
10,424.65,420.5
11,460.08,453.77
12,453.3,446.7
13,370.74,385.52
14,261.3,278.58
15,130.84,143.48
16,20.26,18.35
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,51.28,62.9
8,163.52,204.45
9,290.61,328.7
10,367.14,415.12
11,389.99,451.77
12,356.98,438.75
13,308.77,376.45
14,214.91,269.35
15,75.77,135.25
16,16.83,17.5
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,27.38,47.38
8,53.49,164.08
9,94.31,278.98
10,98.75,362.1
11,129.36,396.35
12,60.99,378.83
13,94.28,327.17
14,50.58,237.2
15,89.48,121.12
16,20.74,17.15
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,31.3,56.27
8,103.84,182.23
9,163.16,300.85
10,220.55,388.05
11,257.98,409.35
12,284.36,405.8
13,230.95,346.55
14,151.42,241.48
15,71.33,113.85
16,14.29,16
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,47.48,61.98
8,107.12,187.02
9,216.88,304.23
10,271.37,387.2
11,302.37,390.73
12,257.09,386.15
13,230.3,337.65
14,171.58,243.27
15,85.7,125.92
16,20.83,20.1
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,45.64,72.27
8,136.64,199.8
9,192.84,313.12
10,268.77,390.35
11,281.15,429.85
12,284.35,408.2
13,219.91,333.42
14,150.2,231.88
15,46.99,119.98
16,16.88,20.42
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,78,81.08
8,212.55,213.83
9,330.58,330.73
10,407.21,412.2
11,452.88,462.15
12,413.38,447.23
13,341.03,386.3
14,236.73,282.85
15,119.58,149.9
16,23.59,26.4
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,68.36,81.27
8,195.82,208.62
9,306.98,323.58
10,403.38,405.62
11,445.47,452.85
12,425.58,438.65
13,344.82,376.65
14,272.17,276.55
15,145.66,148.38
16,28.48,28.15
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,80.19,82.4
8,204.2,206.77
9,332.62,325.08
10,406.38,408.75
11,475.59,472.58
12,468.23,461.23
